system:index,potential_evaporation_sum
20030603,-0.0077537997436787215
20030604,-0.009326764879767429
20030605,-0.0246878654753889
20030606,-0.02203995607997533
20030607,-0.01999016230973221
20030608,-0.01052787900345691
20030609,-0.005279919542212984
20030610,-0.006430189393934723
20030611,-0.007965799632580815
20030612,-0.009689951212015888
20030613,-0.013087335640697107
20030614,-0.019561439590715476
20030615,-0.011396361891576504
20030616,-0.010075501034254999
20030617,-0.010106912689545295
20030618,-0.00695223918857663
20030619,-0.008994235387992282
20030620,-0.008712877186662978
20030621,-0.01073454344860117
20030622,-0.013891649274317078
20030623,-0.01302931665969548
20030624,-0.00948728646484487
20030625,-0.005521433891319646
20030626,-0.001604460773679039
20030627,-0.012328126355125157
20030628,-0.013545180748523348
20030629,-0.01203839630075876
20030630,-0.014241195761411064
20030701,-0.006999278599468943
20030702,-0.004835127387734432
20030703,-0.006874599266372972
20030704,-0.007999635123789891
20030705,-0.008668378698771878
20030706,-0.011272496850924603
20030707,-0.010082872098029362
20030708,-0.005852818355687393
20030709,-0.005589792367304151
20030710,-0.007497344203696106
20030711,-0.008136640039855942
20030712,-0.008954324051157026
20030713,-0.010615576835157643
20030714,-0.00899090288548365
20030715,-0.011263081074690198
20030716,-0.010896131842166954
20030717,-0.010170933375308824
20030718,-0.005423762862305261
20030719,-0.007870349510923412
20030720,-0.00800046497946083
20030721,-0.009468151248667385
20030722,-0.01152068482239342
20030723,-0.018456503005147066
20030724,-0.020114389935689623
20030725,-0.017480187287035667
20030726,-0.017716508263734703
20030727,-0.013383542142503065
20030728,-0.01649993312832456
20030729,-0.016018480660854224
20030730,-0.017634218581993134
20030731,-0.016554169214068565
20030801,-0.010919247046094276
20030802,-0.013412858427380199
20030803,-0.016473674803769905
20030804,-0.013862295221721884
20030805,-0.02261539284895795
20030806,-0.02203455451470329
20030807,-0.016464922248732666
20030808,-0.01443449605236648
20030809,-0.02081406301729098
20030810,-0.015132033311978993
20030811,-0.006599688100955698
20030812,-0.010119436594344033
20030813,-0.014450656706764674
