system:index,ETa
2011_05_01,1.4385474320299305
2011_06_01,1.5200013934513732
2011_07_01,1.093662698674908
2011_08_01,1.3144811792991917
2011_09_01,2.1151061082026583
2011_10_01,2.057847838679268
2011_11_01,2.7539215319438313
2011_12_01,2.7411878522550506
2012_01_01,3.5958511867507843
2012_02_01,3.4902403164226494
2012_03_01,2.3745863183621636
2012_04_01,2.051111488468671
2012_05_01,1.5255580203835224
2012_06_01,1.119946657037469
2012_07_01,1.3170150384806785
2012_08_01,1.6380181932799478
2012_09_01,2.174823650734373
2012_10_01,2.3725557803196344
2012_11_01,2.3665268705841256
2012_12_01,2.8997121301628077
2013_01_01,3.024571620284243
2013_02_01,3.411787960650797
2013_03_01,3.184870295557453
2013_04_01,2.338802782215655
2013_05_01,1.6804458352273928
2013_06_01,1.1291421829997632
2013_07_01,1.265928285684779
2013_08_01,1.970918446546924
2013_09_01,2.693434617189984
2013_10_01,2.949156107296019
2013_11_01,2.662848552725585
2013_12_01,3.824915612181001
2014_01_01,3.1151779571217695
2014_02_01,2.571458325517709
2014_03_01,2.6439240737465712
2014_04_01,2.0632810277106186
2014_05_01,1.5387370882754723
2014_06_01,1.0157806320293072
2014_07_01,1.2194736286955077
2014_08_01,1.4260119802454307
2014_09_01,2.057067998265115
2014_10_01,2.7941823000819888
2014_11_01,2.850800328863127
2014_12_01,2.8325916535896427
2015_01_01,3.5853799793230174
2015_02_01,3.380838455955059
2015_03_01,3.1025314167496405
2015_04_01,1.9902904890303417
2015_05_01,1.4307868823537233
2015_06_01,1.1360727312195162
2015_07_01,1.1804778187326375
2015_08_01,1.7783973544426854
2015_09_01,2.0873959237934576
2015_10_01,2.8262984392982684
2015_11_01,3.246774057276453
2015_12_01,3.5369030582600822
2016_01_01,3.6381426886378314
2016_02_01,3.6875609995907164
2016_03_01,2.7841897923923717
2016_04_01,1.9495828454657438
2016_05_01,1.522530118188694
2016_06_01,1.266522092292326
2016_07_01,1.178865385758219
2016_08_01,1.668231240359913
2016_09_01,2.047015694049513
2016_10_01,2.7181722260586296
2016_11_01,3.7066406026630228
2016_12_01,3.0048939060926227
2017_01_01,3.1748696146839706
2017_02_01,3.2766094703474797
2017_03_01,2.4690739949848046
2017_04_01,2.0206851169736026
2017_05_01,1.5300429772006878
2017_06_01,1.0583045944411862
2017_07_01,1.3499772584049214
2017_08_01,1.7409355782445688
2017_09_01,2.2837499809871886
2017_10_01,2.3506026938906115
2017_11_01,2.6262480657129337
2017_12_01,3.261619944378914
2018_01_01,3.5569628649408345
2018_02_01,2.8827876765045826
2018_03_01,2.9535755734565257
2018_04_01,2.2765549144136688
2018_05_01,1.492065497197262
2018_06_01,1.2074477653810867
2018_07_01,1.3559924760634874
2018_08_01,1.5967593897769778
2018_09_01,2.0154093570742324
2018_10_01,2.3222380337901973
2018_11_01,3.0358111333398576
2018_12_01,3.680528794688513
2019_01_01,3.6106623082922864
2019_02_01,2.9498785163341426
2019_03_01,2.606062666586705
2019_04_01,1.981152232261765
2019_05_01,1.4339882286658667
2019_06_01,1.1285237574465816
2019_07_01,1.2734238490194754
2019_08_01,1.6134939932256005
2019_09_01,1.9605795100308072
2019_10_01,2.1718095327319378
2019_11_01,2.397481208649078
2019_12_01,2.588270607893001
2020_01_01,2.1486765596700286
2020_02_01,2.799377649703245
2020_03_01,2.252491987381687
2020_04_01,2.135801831883205
2020_05_01,1.5067709249635461
2020_06_01,1.2082662836038713
2020_07_01,1.2481800839106318
2020_08_01,1.676567957230163
2020_09_01,2.2253288910649514
2020_10_01,2.6619512597026347
2020_11_01,3.352938579804328
2020_12_01,3.137160208841232
2021_01_01,3.7288882481178285
2021_02_01,2.8456640079372435
2021_03_01,2.9597634184692057
2021_04_01,2.199224411341073
2021_05_01,1.4214215507894874
2021_06_01,1.1882166019425164
2021_07_01,1.2653107778986343
2021_08_01,1.6024852995780643
2021_09_01,2.139467414443608
2021_10_01,2.8571227364021374
2021_11_01,2.9008751119495564
2021_12_01,3.786305938155302
2022_01_01,3.428455773394203
2022_02_01,3.3298872210265644
2022_03_01,2.911944424609019
2022_04_01,2.0766351619297025
2022_05_01,1.5750461245652736
2022_06_01,1.2123333270722565
2022_07_01,1.4362056661088631
2022_08_01,1.4666087825383567
2022_09_01,2.1482870315201996
2022_10_01,2.457636422304681
2022_11_01,3.806134583466443
2022_12_01,3.4981880546761297
2023_01_01,3.521511593461187
2023_02_01,3.6466008092905864
2023_03_01,2.9186904450354554
2023_04_01,1.897579557446114
2023_05_01,1.5772583096258679
2023_06_01,1.2388562641650782
2023_07_01,1.2978606570692115
2023_08_01,1.588428986922108
2023_09_01,2.118293962452018
2023_10_01,2.624482430533037
2023_11_01,2.5507349875805123
2023_12_01,3.9390809863456524
2024_01_01,3.3794730707882388
2024_02_01,3.1948328683693235
2024_03_01,2.626469873449114
2024_04_01,2.1281347111761586
2024_05_01,1.586194494417758
2024_06_01,1.3359525404915107
2024_07_01,1.2724215226688298
2024_08_01,1.7517616555813436
2024_09_01,2.559665531362199
2024_10_01,2.84904975316261
2024_11_01,3.1178186738154703
2024_12_01,4.2673015211967105
2025_01_01,3.9512369210994778
2025_02_01,3.606986918511996
2025_03_01,3.0279540836238494
2025_04_01,2.37926719730447
2025_05_01,2.414401487697869
2025_06_01,1.2392793076862032
2025_07_01,1.3169767542671513
2025_08_01,1.8848135050816932
2025_09_01,2.0655452270584083
2025_10_01,3.1346965331951626
2025_11_01,3.5218618832105544
2025_12_01,3.5426108501017803
