system:index,PET
2016_04_06,334.1043607238207
2016_04_14,289.02189261346774
2016_04_22,263.9963808958766
2016_04_30,248.98979531296357
2016_05_08,232.85968555324837
2016_05_16,215.99905072678735
2016_05_24,178.41649362207067
2016_06_01,115.79916938593895
2016_06_09,152.04455651142092
2016_06_17,103.24912488875705
2016_06_25,128.81501038267572
2016_07_03,114.3754375556215
2016_07_11,136.24645505784633
2016_07_19,161.28306140611096
2016_07_27,167.9207356867398
2016_08_04,168.8676357164046
2016_08_12,254.575852862652
2016_08_20,184.0650252150697
2016_08_28,244.83927617917539
2016_09_05,335.2941560367844
2016_09_13,267.05422723227514
2016_09_21,337.1750815781667
2016_09_29,390.77876001186587
2016_10_07,409.4634826460992
2016_10_15,396.4307327202611
2016_10_23,480.8132898249779
2016_10_31,591.3663601305251
2016_11_08,517.0297834470484
2016_11_16,653.7968555324827
2016_11_24,619.2341145060813
2016_12_02,587.7364580243251
2016_12_10,566.7792939780481
2016_12_18,550.7309403737762
2016_12_26,526.2982497775141
2017_01_01,558.7432215959655
2017_01_09,614.3485019282114
2017_01_17,667.8587362800354
2017_01_25,626.5216256303768
2017_02_02,561.8582023138538
2017_02_10,585.0912488875706
2017_02_18,543.7350341145061
2017_02_26,349.6653218629486
2017_03_06,356.46538119252455
2017_03_14,275.9184811628595
2017_03_22,361.5421536636013
2017_03_30,256.7760901809551
2017_04_07,297.3021061999407
2017_04_15,298.0932660931474
2017_04_23,242.32714328092558
2017_05_01,207.02865618510828
2017_05_09,171.39988134084845
2017_05_17,172.73313556808066
2017_05_25,165.37810738653224
2017_06_02,110.62100266983092
2017_06_10,116.97347967962025
2017_06_18,142.77276772471075
2017_06_26,134.35099377039452
2017_07_04,159.7226342331652
2017_07_12,150.90186888163748
2017_07_20,187.05897359833878
2017_07_28,190.21809552061706
2017_08_05,236.02319786413528
2017_08_13,251.65849896173248
2017_08_21,235.7679026994957
2017_08_29,327.40462770691187
2017_09_06,375.32275289231694
2017_09_14,388.78510827647585
2017_09_22,467.07813705132037
2017_09_30,367.7555028181548
2017_10_08,403.92815188371407
2017_10_16,398.1397804805696
2017_10_24,540.381311183625
2017_11_01,463.8545238801542
2017_11_09,519.9107683180066
2017_11_17,486.3070305547317
2017_11_25,522.8986650845445
2017_12_03,546.5673094037377
2017_12_11,667.6858498961734
2017_12_19,488.8990803915752
2017_12_27,355.9471966775438
2018_01_01,665.4555324829424
2018_01_09,534.5803025808365
2018_01_17,677.6029071492139
2018_01_25,496.44948086621184
2018_02_02,552.6199347374666
2018_02_10,613.9061406110947
2018_02_18,377.84188668051036
2018_02_26,453.1117175912192
2018_03_06,377.376742806289
2018_03_14,471.4002373183033
2018_03_22,359.90008899436367
2018_03_30,383.20350044497195
2018_04_07,384.0530999703352
2018_04_15,314.4370216552952
2018_04_23,214.98688816374965
2018_05_01,218.2876891130228
2018_05_09,174.07422129931774
2018_05_17,201.67878967665385
2018_05_25,163.98629486799172
2018_06_02,97.12156630080098
2018_06_10,139.26116879264305
2018_06_18,128.85185404924357
2018_06_26,127.09391871848113
2018_07_04,153.2120439038861
2018_07_12,212.3584692969445
2018_07_20,236.81441708691784
2018_07_28,222.90685256600415
2018_08_05,240.78611687926437
2018_08_13,275.6633639869474
2018_08_21,237.83423316523286
2018_08_29,249.03452981311187
2018_09_06,339.4659151587068
2018_09_14,395.6328685849898
2018_09_22,354.70958172649074
2018_09_30,333.86935627410276
2018_10_08,326.1738949866509
2018_10_16,431.593177098784
2018_10_24,484.1823197864136
2018_11_01,493.658380302581
2018_11_09,495.28834173835673
2018_11_17,521.9063779293978
2018_11_25,593.8759418570155
2018_12_03,617.401423909819
2018_12_11,491.51919311776913
2018_12_19,645.7611391278554
2018_12_27,448.987066152477
2019_01_01,667.4495429181999
2019_01_09,623.8052950255251
2019_01_17,582.0769915706992
2019_01_25,582.8241719102456
2019_02_02,603.0829276979698
2019_02_10,593.6830108037516
2019_02_18,466.210138905378
2019_02_26,478.347916419328
2019_03_06,441.9182595274842
2019_03_14,367.57550753888154
2019_03_22,375.24017570936724
2019_03_30,367.6247180339545
2019_04_07,332.1884720408405
2019_04_15,280.2913451264395
2019_04_23,291.60738454232455
2019_05_01,212.93137836875218
2019_05_09,216.46877597055666
2019_05_17,214.46450195892194
2019_05_25,189.4387391665677
2019_06_02,106.98136056037039
2019_06_10,162.1832482488424
2019_06_18,109.36744627804818
2019_06_26,158.5132375638133
2019_07_04,144.24884245518226
2019_07_12,182.75495666627089
2019_07_20,211.06517867743077
2019_07_28,188.99519173691078
2019_08_05,222.79817167280063
2019_08_13,295.20473702956184
2019_08_21,282.335391190787
2019_08_29,308.4784518580077
2019_09_06,358.049388578891
2019_09_14,322.6697138786654
2019_09_22,430.1690609046657
2019_09_30,420.7825002968061
2019_10_08,398.1030511694171
2019_10_16,539.0997269381454
2019_10_24,507.24189718627565
2019_11_01,562.4800546123705
2019_11_09,585.8188293957021
2019_11_17,471.67998337884353
2019_11_25,570.6812893268432
2019_12_03,625.4608215600139
2019_12_11,550.4092366140328
2019_12_19,491.1059598717796
2019_12_27,406.05853021488775
2020_01_01,602.2208832957381
2020_01_09,533.7324587439152
2020_01_17,520.1681111243024
2020_01_25,599.9355930191141
2020_02_02,334.44307253947517
2020_02_10,432.31669238988474
2020_02_18,419.8156832482488
2020_02_26,449.7909889588033
2020_03_05,340.6493529621276
2020_03_13,368.6910839368396
2020_03_21,306.83954647987645
2020_03_29,296.9379081087498
2020_04_06,244.7183307610115
