,P_mm,EP_mm,Q_mm,RC
1987-02-01,73.90416113133803,95.4397942935943,0.918790243902439,0.01243218554730119
1987-03-01,159.6884744206831,91.6292913405592,5.203655284552846,0.032586292175629056
1987-04-01,28.757793218569308,67.0643171706723,1.5831284552845528,0.055050415143200374
1987-05-01,93.47053447227579,51.21322665021503,7.303739837398374,0.0781394893977495
1987-06-01,28.47243095052365,36.99070367585444,5.181346341463414,0.18197765938802363
1987-07-01,24.6067720884066,38.37595923836653,3.4887414634146343,0.14177972839673447
1987-08-01,153.8100460170802,53.1050369468041,31.479310569105692,0.20466355341711553
1987-09-01,13.673129247795389,79.1328819167918,12.109970731707316,0.8856766079103573
1987-10-01,86.06443521930561,86.1050196617228,5.906211382113821,0.0686254591349362
1987-11-01,118.74972530462976,108.615642232102,21.645346341463412,0.18227702241783217
1987-12-01,144.19518666062737,111.8262066433004,3.120494308943089,0.02164076611161351
1988-01-01,149.4294902954146,128.2291125642908,15.921586991869917,0.10654916215262288
1988-02-01,94.89410870927541,106.5960906624409,28.669372357723578,0.3021196231007046
1988-03-01,74.86773237237092,82.5408221424071,7.548852032520325,0.10082917958533151
1988-04-01,257.6638197544901,62.5560722714017,115.15549918699188,0.4469214936606759
1988-05-01,29.53721629301426,50.138082783850486,16.728819512195123,0.5663641199713053
1988-06-01,47.28675701181265,40.41218009138156,14.957541463414634,0.3163156538664326
1988-07-01,71.64690710958119,42.26600311463162,33.6679674796748,0.46991515527922145
1988-08-01,59.92343013182175,53.29862631494746,7.259824390243902,0.1211516826435582
1988-09-01,74.9663396502099,81.66731438209018,20.09679349593496,0.2680775610721537
1988-10-01,14.704616733988413,97.6780720201213,5.217964227642277,0.35485210679319623
1988-11-01,141.81466274301292,100.243048087793,3.7074731707317072,0.02614308773874915
1988-12-01,150.5824170412275,112.8503984563,27.449547967479674,0.18228919754930184
1989-01-01,209.34050373893874,128.9343267067993,23.92217235772358,0.11427397914144741
1989-02-01,74.82810053951022,101.0983074126528,14.885255284552844,0.1989260074387861
1989-03-01,169.2224837785748,86.71279820808479,61.95391219512195,0.3661092238557836
1989-04-01,183.96247782391433,69.3441844504776,155.39661788617886,0.8447190955697051
1989-05-01,83.81129883586885,48.63766322541255,66.7619512195122,0.7965745925290443
1989-06-01,38.460306268428866,17.291580493214006,17.616533333333333,0.45804454104917824
1989-08-01,6.229312433940451,26.8672586247029,5.4813528455284555,0.8799290296732056
1989-09-01,22.49228595782501,71.6716374016988,6.911791869918699,0.307296105112611
1989-10-01,50.36463944106089,78.09994007290369,4.059863414634147,0.08060940095451677
1989-11-01,148.4304033610003,106.774969936832,8.911076422764227,0.06003538507600384
1989-12-01,148.85787009465304,129.7975049657847,10.919570731707317,0.07335568300664237
1990-01-01,131.6673580116846,121.6822814216941,6.512156097560975,0.049459153702947886
1990-02-01,141.26267741801078,14.1872554959393,110.65216260162602,0.7833078391555252
1990-04-01,38.668867701932506,21.0311994889522,56.83997398373983,1.4699156546779157
1990-05-01,84.20590303919484,48.30309083221009,33.50794146341464,0.3979286517219332
1990-06-01,69.54030420113574,42.6569303679849,50.63003577235772,0.728067504938105
