system:index,ET
2007_07_28,95.43829358015904
2007_08_05,101.55090779636883
2007_08_13,92.12109884893792
2007_08_21,132.82413670345318
2007_08_29,150.73845971282776
2007_09_06,158.0465764803607
2007_09_14,184.93325026699893
2007_09_22,199.53287053518454
2007_09_30,242.1082829002018
2007_10_08,252.1189628574819
2007_10_16,255.70416518333917
2007_10_24,238.51495194019225
2007_11_01,214.40655037379847
2007_11_09,296.75008899964405
2007_11_17,319.75554764447617
2007_11_25,249.98724338435986
2007_12_03,316.3844784620862
2007_12_11,300.68624658834693
2007_12_19,315.90245639017445
2007_12_27,222.81179541948504
2008_01_01,363.44381155808725
2008_01_09,380.72795775483564
2008_01_17,316.54034650528047
2008_01_25,358.28746885012447
2008_02_02,259.67793995490683
2008_02_10,277.1396701079861
2008_02_18,307.492346030616
2008_02_26,261.19520588584305
2008_03_05,290.4727661089355
2008_03_13,257.37551916459
2008_03_21,220.12501483327395
2008_03_29,215.11991218701795
2008_04_06,164.80342945294885
2008_04_14,133.35985522724576
2008_04_22,107.50243265693605
2008_04_30,120.64613741545035
2008_05_08,132.33659665361338
2008_05_16,107.34104663581346
2008_05_24,112.91948498872674
2008_06_01,76.34697994541358
2008_06_09,78.47353743918359
2008_06_17,82.99489735374391
2008_06_25,94.686721253115
2008_07_03,83.28580752343657
2008_07_11,93.45075353031923
2008_07_19,80.22172777975555
2008_07_27,85.5234959060164
2008_08_04,87.37569716387803
2008_08_12,97.89213243147027
2008_08_20,115.76397294410825
2008_08_28,124.69330722677111
2008_09_05,135.936928918951
2008_09_13,176.72878841817968
2008_09_21,204.3965824136703
2008_09_29,245.11516553933777
2008_10_07,229.91206835172665
2008_10_15,250.3417586329655
2008_10_23,284.9249436335587
2008_10_31,268.82140738103715
2008_11_08,271.938708911831
2008_11_16,254.2055891776432
2008_11_24,297.78426486294063
2008_12_02,307.6116055535779
2008_12_10,287.64946006882644
2008_12_18,327.89569241723035
2008_12_26,236.65658004034646
2009_01_01,332.1596558884605
2009_01_09,351.4230792049838
2009_01_17,280.0453871254821
2009_01_25,373.4897063185998
2009_02_02,331.0631266686442
2009_02_10,219.3675467220409
2009_02_18,288.47712844853163
2009_02_26,273.59365173539015
2009_03_06,273.34796796202914
2009_03_14,279.9493325422723
2009_03_22,261.7272619400771
2009_03_30,200.03975081578167
2009_04_07,175.44289528329872
2009_04_15,159.04900622960545
2009_04_23,151.88940967072088
2009_05_01,139.80314446751706
2009_05_09,129.73230495401958
2009_05_17,102.89878374369626
2009_05_25,103.9162859685553
2009_06_02,95.63114802729163
2009_06_10,92.75734203500446
2009_06_18,85.40611094630678
2009_06_26,89.04425986354195
2009_07_04,79.38083654701867
2009_07_12,88.53183031741324
2009_07_20,103.20219519430437
2009_07_28,108.13509344408192
2009_08_05,109.67072085434592
2009_08_13,134.00551765054874
2009_08_21,160.96665677840411
2009_08_29,158.04639572827054
2009_09_06,175.54464550578467
2009_09_14,219.35134974784935
2009_09_22,197.05369326609323
2009_09_30,197.45778700682297
2009_10_08,207.3320083061406
2009_10_16,268.8391575200238
2009_10_24,227.08401067932365
2009_11_01,242.45944823494509
2009_11_09,333.285315929991
2009_11_17,365.32797389498666
2009_11_25,341.46621180658565
2009_12_03,350.04663304657356
2009_12_11,326.45238801542564
2009_12_19,269.95639276179173
2009_12_27,150.93479679620293
2010_01_01,358.75295164639573
2010_01_09,401.66544052210037
2010_01_17,390.77816671610805
2010_01_25,304.163512310887
2010_02_02,331.69801245921093
2010_02_10,364.0520320379708
2010_02_18,320.28579056659754
