member,NSE,logNSE,Imax,Ce,Sumax,Beta,Pmax,Tlag,Kf,Ks
49,-2.418564077867605,-2.059038536897703,6.167047730463038,0.6820415742885553,43.150220806917886,1.6431471436633351,0.16118246884122378,3.2042473923970274,0.08593675766556703,0.004530438159028617
50,-1.873647286324975,-2.31072835605907,6.118007868003737,0.4077543235923991,65.4693359320661,2.2452174819060438,0.06712662694241851,1.6724109750848104,0.012449401455132854,0.009094542525203487
51,-2.3259699649592047,-2.1079014462437455,2.270875068461579,0.6451321557808396,353.4741707857656,2.3738350957627965,0.19293928054371767,4.4953100080178405,0.07039794923739932,0.00908087723258437
52,-2.09634325526104,-2.150063944723477,1.5163375229630445,0.4998236676159292,388.29070776876586,2.1661626911533878,0.21832769437948563,1.5321344918112478,0.051905275340120176,0.004454258866163904
53,-2.074171469358906,-2.173524003166136,3.77000771788252,0.4517742829016106,403.01538090927704,1.128774486258546,0.1517299160323979,2.7568488883091624,0.04085284056437074,0.008502907728378705
54,-2.3710837499875455,-2.137803357346538,2.678448356020988,0.546504453961211,557.8798493975853,2.4245192211623845,0.09931944428057539,7.68620361874034,0.05499813417662461,0.008096038611438256
55,-2.202551057163333,-2.1637508045560723,5.877880349709208,0.48003740204568807,613.7174902636494,1.715688551515665,0.21693739692897057,6.8906943508308105,0.048890561704057416,0.005995986794297345
56,-2.151677787062783,-2.1006107489385273,1.512856924278915,0.7065925654702682,663.7963869934676,2.3282353550799906,0.03993039243345927,2.0411148767571863,0.06018148881227314,0.0033241485035040924
57,-1.9154169741585334,-2.261109149690901,2.6488325929687013,0.7736724660331273,303.19495665450734,1.1274330457551742,0.21642745706297603,2.7233893004301475,0.019729299776633825,0.0025234546348438746
58,-2.0235987519992276,-2.166094332235804,6.753827366580551,0.4105609592235756,507.3620873690242,2.407348114206931,0.13487618015167563,1.3833173212829046,0.04195277332899236,0.007410459044790599
59,-2.3236432085718834,-2.059435744054374,4.9201922745790085,0.5024254417230739,338.579183250187,1.4722853872585095,0.15545339007868744,2.398864094786511,0.09368789599257565,0.007592151176882502
60,-2.1020831613003597,-2.0664236668242286,7.082112637898973,0.5064792180776638,591.2626967244794,1.6315929727133678,0.18841482559068734,6.663152819773985,0.05534931787139968,0.00029837968331792284
61,-2.373629362972898,-2.134737536373554,7.812424163261424,0.4569310853600454,468.2392062533298,2.028007732437932,0.2580185133558063,7.404283868723063,0.06773289525435362,0.007553763405947455
62,-2.2167240125135814,-2.130676689189099,6.6952687432574605,0.7805997243318668,492.03168720425913,1.1362213704386632,0.09526782610152491,5.3747973657167645,0.05235683332944361,0.00213777180426063
63,-2.2943505790745182,-2.0615931636569558,1.4465970086875144,0.4990447810359854,334.67982915849194,1.3120225671788088,0.20913856358131025,1.5982248737743907,0.09711231653632248,0.002988683298094078
64,-1.9810553202535313,-2.2432074415948464,4.947284067636707,0.5424744659367658,522.1898553238402,1.8745166714128068,0.03585941797893981,4.509076178332251,0.020475588580509192,0.007866362829384807
65,-2.112044701096748,-2.1613518605162247,3.8088709861867533,0.4195756352263014,699.5222820911812,1.577877417768913,0.13213110795195637,5.672314406542881,0.04155166749929418,0.0062342437903388365
66,-2.1116465407459395,-2.1111169983612554,3.233253237381825,0.495252268484162,535.2872696408774,1.159599266799758,0.2154360398845705,1.7459422058156844,0.07121873179389916,0.009090850908068894
67,-2.4267130677583304,-2.098215969834936,5.935069500392073,0.7531299022250821,137.7314550192212,1.015127464224772,0.26708676043559937,5.075506281936413,0.08068869481337936,0.00917990303928028
68,-2.2654873129031814,-2.1444183882107315,6.607466313353469,0.785773206442803,107.44109249184699,2.3442100305769085,0.16758901641378696,6.289441639457431,0.04579322582513743,0.0016185280780626212
69,-2.2951757236811803,-2.0953035659024524,5.465838643901133,0.6624111296458038,554.8744473729807,2.0020380732852323,0.19038143684402212,3.699320149645543,0.07666919996817752,0.003288538161448847
70,-2.2614208687590747,-2.172985225139253,1.1141728439277792,0.5187444427323379,310.2515131026325,1.4858976019584313,0.16013997471780592,6.779355535841214,0.043540847479413385,0.006835253714180828
71,-1.9330698249552065,-2.2604462184991836,5.622600459187289,0.423734389079201,279.19202329880665,2.329100254002278,0.10438199234104158,2.1884055111819394,0.018783940634740974,0.0074798393569294195
72,-1.7381878108643365,-2.308401088442835,0.47069832131310463,0.7457745939729244,716.4407663419297,2.4508334568273105,0.25388479750556014,2.8473024143179058,0.011527477013829189,0.0033459602345009623
73,-1.908055833223643,-2.225997301226732,1.541323798009727,0.462056358968301,696.5756869730009,1.122311699993775,0.1727019444109394,6.634707352026682,0.022751521223651473,0.0027371108098023147
74,-2.545883378177329,-2.032836153443955,7.39835011964157,0.5078192360065839,652.3033644992232,1.3907204533915445,0.07902375815729235,5.791791339811439,0.09883660743095359,0.008140256830605142
