system:index,ET
2007_01_01,277.2363789189489
2007_01_09,296.6092705912422
2007_01_17,310.82021493091924
2007_01_25,329.4159442529963
2007_02_02,304.74406039108516
2007_02_10,256.5025186459522
2007_02_18,293.96659246329284
2007_02_26,274.3479618811473
2007_03_06,232.14250535659122
2007_03_14,264.2366688785831
2007_03_22,234.7915146392884
2007_03_30,204.97164626656942
2007_04_07,188.5703000985055
2007_04_15,189.30006764536876
2007_04_23,135.7150273723372
2007_05_01,152.07648516763425
2007_05_09,126.97376045466689
2007_05_17,120.69564629115561
2007_05_25,118.06305605082517
2007_06_02,87.26996208550321
2007_06_10,71.70664973002737
2007_06_18,76.47647525006926
2007_06_26,87.51894860964973
2007_07_04,75.9903614687705
2007_07_12,72.96516041167756
2007_07_20,90.3670423938201
2007_07_28,97.98176024430525
2007_08_05,104.5246540800178
2007_08_13,94.28201526104948
2007_08_21,135.88033302160792
2007_08_29,154.47546238814448
2007_09_06,160.25839555607607
2007_09_14,187.5966563805179
2007_09_22,203.53131722956405
2007_09_30,243.77253766688864
2007_10_08,255.23077384476096
2007_10_16,257.5630614821978
2007_10_24,239.5748633401928
2007_11_01,216.76929044804805
2007_11_09,298.6259460871652
2007_11_17,321.51482116178676
2007_11_25,255.01487325170368
2007_12_03,319.70925178966013
2007_12_11,304.7187068454552
2007_12_19,317.8436477380842
2007_12_27,223.05677146674225
2008_01_01,361.371387711744
2008_01_09,382.0936360075397
2008_01_17,315.29120413808147
2008_01_25,360.023502826715
2008_02_02,262.8967485488392
2008_02_10,280.23044182067133
2008_02_18,310.27541948982
2008_02_26,263.3104099555758
2008_03_05,292.5083876482419
2008_03_13,255.7661390020076
2008_03_21,223.59534620158442
2008_03_29,218.6349241292882
2008_04_06,166.2002241279789
2008_04_14,135.98715870174988
2008_04_22,110.29088308414273
2008_04_30,123.81228795340942
2008_05_08,136.22706128542873
2008_05_16,110.14424852700354
2008_05_24,115.68433543902539
2008_06_01,80.77751085150473
2008_06_09,81.83630316972832
2008_06_17,86.7278915824372
2008_06_25,98.22782636446564
2008_07_03,85.60095874543575
2008_07_11,95.85421468498603
2008_07_19,83.67833425787126
2008_07_27,87.85286121129901
2008_08_04,90.12718115692435
2008_08_12,101.16799683712024
