system:index,ETa
2014_01_01,3.187417226234078
2014_02_01,2.659548127914458
2014_03_01,2.6841309209226507
2014_04_01,2.0853389493614127
2014_05_01,1.553059222662283
2014_06_01,1.0307991096323952
2014_07_01,1.2393680233502138
2014_08_01,1.4625189088263606
2014_09_01,2.0576748331667405
2014_10_01,2.83672502670791
2014_11_01,2.888929625080344
2014_12_01,2.871480209709464
2015_01_01,3.5437694403263293
2015_02_01,3.390799852777631
2015_03_01,3.1607925674650112
2015_04_01,2.0237777600103084
2015_05_01,1.4907679798034776
2015_06_01,1.1419634600289859
2015_07_01,1.1918472349603735
2015_08_01,1.793909730487466
2015_09_01,2.1049109888491464
2015_10_01,2.8590227578243232
2015_11_01,3.2770896911083045
2015_12_01,3.634592130537168
2016_01_01,3.697281255287045
2016_02_01,3.761792887225637
2016_03_01,2.826795789992557
2016_04_01,1.9954169244532625
2016_05_01,1.542750415057857
2016_06_01,1.3247903735789062
2016_07_01,1.1963964750632088
2016_08_01,1.69998220662362
2016_09_01,2.064259669534021
2016_10_01,2.7093409952274974
2016_11_01,3.778198348402435
2016_12_01,3.0424234049390404
2017_01_01,3.158031241512338
2017_02_01,3.2968484102671045
2017_03_01,2.543873452112126
2017_04_01,2.009449498082589
2017_05_01,1.5298207105354915
2017_06_01,1.0919375961645819
2017_07_01,1.363185522769238
2017_08_01,1.7551176366934527
2017_09_01,2.3387304687184542
2017_10_01,2.4483908324113046
2017_11_01,2.7242151884501946
2017_12_01,3.338421142995846
2018_01_01,3.621855119226638
2018_02_01,2.9796199295690324
2018_03_01,3.0242430541888234
2018_04_01,2.3044272943061577
2018_05_01,1.510159382032306
2018_06_01,1.2437410199597336
2018_07_01,1.3794445364501242
2018_08_01,1.6091787372175985
2018_09_01,2.031547996652262
2018_10_01,2.3841570197141393
2018_11_01,3.1008006544932796
2018_12_01,3.7251733584401805
2019_01_01,3.658776625129784
2019_02_01,2.969671300471073
2019_03_01,2.630815126449308
2019_04_01,1.9971660376102627
2019_05_01,1.4533488436537316
2019_06_01,1.1586315991933174
2019_07_01,1.292770948996782
2019_08_01,1.6393197530168135
2019_09_01,1.9831275823946204
2019_10_01,2.2437301276901964
2019_11_01,2.435724088296958
2019_12_01,2.588793403492701
2020_01_01,2.1953126941359034
2020_02_01,2.836685072702542
2020_03_01,2.286411061844135
2020_04_01,2.1502969749511065
2020_05_01,1.5171077772058263
2020_06_01,1.2370672798137572
2020_07_01,1.2658453522415007
2020_08_01,1.7085415696464192
2020_09_01,2.241679924514827
2020_10_01,2.6740128163508126
2020_11_01,3.340341947062993
2020_12_01,3.21330138016726
2021_01_01,3.8139837142636606
2021_02_01,2.930957510459108
2021_03_01,3.1110684689941697
2021_04_01,2.2204351390623938
2021_05_01,1.4462085698678255
2021_06_01,1.2085651656457943
2021_07_01,1.2836484111486361
2021_08_01,1.6225319616294762
2021_09_01,2.1500448631872864
2021_10_01,2.891503504609486
2021_11_01,2.9446828731028436
2021_12_01,3.786261914090416
2022_01_01,3.4728379573775823
2022_02_01,3.4127282205486997
2022_03_01,3.0182499329292103
2022_04_01,2.1101314185656306
2022_05_01,1.570686005367344
2022_06_01,1.2337328294155097
2022_07_01,1.5275769402056298
2022_08_01,1.4777881865219564
2022_09_01,2.1653029998781896
2022_10_01,2.5114534829442436
2022_11_01,3.7901805198428673
2022_12_01,3.488817623068428
2023_01_01,3.5646824479850765
2023_02_01,3.6720359565470613
2023_03_01,2.987164129355726
2023_04_01,1.926399957701937
2023_05_01,1.58137519947331
2023_06_01,1.251430047749964
2023_07_01,1.3230422515670097
2023_08_01,1.61803080772473
2023_09_01,2.15572136264363
2023_10_01,2.725444089022326
2023_11_01,2.6113665661550454
2023_12_01,4.000064807089956
2024_01_01,3.432067889736334
2024_02_01,3.2968981309194745
2024_03_01,2.6548276544956515
2024_04_01,2.2092527278523613
2024_05_01,1.607116609028751
2024_06_01,1.3698691861208896
2024_07_01,1.3072363880462572
2024_08_01,1.765248570751685
2024_09_01,2.5804451325514415
2024_10_01,2.8485636037329516
2024_11_01,3.106641586805237
2024_12_01,4.303085082072434
2025_01_01,4.017406860175446
2025_02_01,3.639267908262424
2025_03_01,3.0945538458442883
2025_04_01,2.38245029075567
2025_05_01,2.576942604073888
2025_06_01,1.2453702130159539
2025_07_01,1.33731216250508
2025_08_01,1.9283482574418789
2025_09_01,2.0533124610104854
2025_10_01,3.1306688910548144
2025_11_01,3.582193075152369
2025_12_01,3.562680456727951
