system:index,lwe_thickness
20180531_20180629,-3.3035054023256514
20180630_20180717,-3.653896539684737
20181021_20181108,-5.155940095255681
20181031_20181129,-3.996557221138422
20181130_20181230,-2.193514671966317
20181231_20190130,-3.446700626068958
20190125_20190303,-4.099590979226502
20190228_20190330,-5.089682748113817
20190331_20190429,-4.448576028486541
20190430_20190530,-4.855307014352386
20190531_20190629,-5.615136752956229
20190630_20190730,-5.842573587254506
20190731_20190830,-6.638052791180793
20190831_20190929,-7.281814030459058
20190930_20191030,-4.249369325176165
20191031_20191129,-2.979894759500802
20191130_20191230,-4.942030619350187
20191231_20200130,-7.6859312642906055
20200131_20200228,-2.163250025432235
20200229_20200330,2.8294700942547673
20200331_20200429,4.6813320717407985
20200430_20200530,4.733734715943093
20200531_20200629,4.1700958426595305
20200630_20200730,4.069295679112821
20200731_20200830,6.001189042855491
20200831_20200929,4.356081653480801
20200930_20201030,3.864445409886972
20201031_20201129,2.928417081642033
20201130_20201230,2.9172605673722605
20201231_20210130,4.252377301286851
20210131_20210227,7.954417738621848
20210228_20210330,9.141708258838293
20210331_20210429,9.090446341140922
20210430_20210530,7.558590246691631
20210531_20210629,9.057068300898395
20210630_20210730,9.565315753878561
20210731_20210830,9.015916789927589
20210831_20210929,8.847542605160607
20210930_20211030,13.331344946515994
20211031_20211129,12.219629720285665
20211130_20211230,16.929083098247784
20211231_20220130,18.251591409648064
20220131_20220227,17.960779289036545
20220228_20220330,16.735640200827387
20220331_20220429,16.20636686151305
20220430_20220530,21.23310559280328
20220531_20220629,18.439537576274514
20220630_20220730,20.86412608467817
20220731_20220830,19.357662509352892
20220831_20220929,16.184795019746804
20220930_20221030,27.620452400707265
20221031_20221129,27.07416465663206
20221130_20221230,18.37442877922463
20221231_20230130,21.182957319655536
20230131_20230227,15.86238531142072
20230228_20230330,16.674204183457473
20230331_20230429,17.880334149711203
20230430_20230530,16.4479569365489
20230531_20230629,17.93139818709932
20230630_20230730,18.838116739573334
20230731_20230830,14.053560655710605
20230831_20230929,14.75875506820817
20230930_20231030,11.147241776051578
20231031_20231129,9.902581739719244
20231130_20231230,11.125160847104762
20231231_20240130,10.699498101371493
20240131_20240228,12.223967488027652
20240229_20240330,11.418541374396426
20240331_20240429,15.452273501404106
20240430_20240530,13.764860571184188
20240531_20240629,14.98464512349261
20240630_20240730,14.552193539466874
20240731_20240830,15.827032215528106
20240831_20240929,15.566445373058196
20240930_20241030,12.641804766623448
