system:index,Evap_tavg
A20000206_1200,1.2886539256536489E-6
A20000206_1500,1.832749044607466E-7
A20000206_1800,-1.582047987582853E-7
A20000206_2100,5.334042132161239E-6
A20000207_0000,8.289779246882967E-5
A20000207_0300,1.5330620627792868E-4
A20000207_0600,1.3855672734772815E-4
A20000207_0900,5.188293785009051E-5
A20000207_1200,7.407645584835363E-7
A20000207_1500,2.3537043096900693E-7
A20000207_1800,-1.2474088545796014E-6
A20000207_2100,4.979801785589119E-6
A20000208_0000,9.659867478341206E-5
A20000208_0300,1.731649009905282E-4
A20000208_0600,1.5553448629788836E-4
A20000208_0900,5.8237095709288454E-5
A20000208_1200,5.483982818511829E-7
A20000208_1500,-9.077468948271119E-7
A20000208_1800,-2.4496132375989098E-6
A20000208_2100,7.3676311938857995E-6
A20000209_0000,9.959757535477797E-5
A20000209_0300,1.7455800618951638E-4
A20000209_0600,1.5490053005688635E-4
A20000209_0900,5.512915143556314E-5
A20000209_1200,5.342160757404622E-7
A20000209_1500,-2.5071545291908854E-7
A20000209_1800,-1.908540802108272E-6
A20000209_2100,6.678825681782655E-6
A20000210_0000,1.0033527342581837E-4
A20000210_0300,1.7272909390425025E-4
A20000210_0600,1.5047017791132165E-4
A20000210_0900,5.444212725247694E-5
A20000210_1200,1.1375299412256754E-6
A20000210_1500,8.786481471237002E-7
A20000210_1800,1.4867489735085372E-6
A20000210_2100,7.201811395298563E-6
A20000211_0000,8.725850934571729E-5
A20000211_0300,1.4421180660511096E-4
A20000211_0600,1.0698523435099153E-4
A20000211_0900,3.252370762987841E-5
A20000211_1200,3.023769306551569E-6
A20000211_1500,3.3682692050885086E-6
A20000211_1800,4.3350197295409E-6
A20000211_2100,9.591908180676086E-6
A20000212_0000,5.5165874403741245E-5
A20000212_0300,1.1502887796373551E-4
A20000212_0600,7.509922953832951E-5
A20000212_0900,1.9323717357205773E-5
A20000212_1200,2.652011808351982E-6
A20000212_1500,2.3057775002012628E-6
A20000212_1800,2.2633790334906035E-6
A20000212_2100,3.983157230120753E-6
A20000213_0000,2.1055732359124758E-5
A20000213_0300,3.617922979928004E-5
A20000213_0600,3.4134619294133054E-5
A20000213_0900,1.344462840328916E-5
A20000213_1200,5.508551426532321E-6
A20000213_1500,3.7132286796408925E-6
A20000213_1800,5.01306145826953E-6
A20000213_2100,6.989357422181992E-6
A20000214_0000,5.847840671544177E-5
A20000214_0300,6.859416306378182E-5
A20000214_0600,6.624850152251848E-5
A20000214_0900,1.5154642865164515E-5
A20000214_1200,-1.70483681148666E-7
A20000214_1500,2.4724710669500475E-8
A20000214_1800,3.339904770820706E-7
A20000214_2100,1.0995800299610456E-6
A20000215_0000,3.08253850819769E-5
A20000215_0300,8.234467164034292E-5
A20000215_0600,5.798515270211626E-5
A20000215_0900,1.5390137525463084E-5
A20000215_1200,-9.224477858551199E-8
A20000215_1500,-2.0056894918278653E-7
A20000215_1800,-6.11856244177491E-7
A20000215_2100,1.939589957041318E-6
A20000216_0000,6.688358641220161E-5
A20000216_0300,1.2711376186455648E-4
