system:index,uncertainty
20100731_20100830,2.0456691074938416
20100831_20100929,2.2228450771219075
20100930_20101030,2.4740400715076736
20101031_20101129,2.6828773095653102
20101130_20101226,2.9344892589833957
20110207_20110227,3.356276380775513
20110228_20110330,3.365353025294
20110331_20110429,3.206232397259431
20110430_20110530,2.905244242876195
20110704_20110730,3.056674119119406
20110731_20110830,2.7922392676112127
20110831_20110929,2.675999761528231
20110930_20111030,2.576055338830964
20111016_20111115,2.583220969995659
20111216_20120114,2.541417058651985
20111231_20120130,2.4058034834264164
20120131_20120228,2.516545602729919
20120229_20120330,2.3539898596698645
20120319_20120418,2.864082454724422
20120531_20120629,2.589413443673833
20120630_20120730,2.5246473080569674
20120731_20120830,2.395301143592165
20120831_20120923,2.685085214934236
20121105_20121129,2.723844434129727
20121130_20121230,2.539056903819152
20121231_20130130,2.4980080643490803
20130131_20130225,2.6141221429392654
20130410_20130429,2.701959124450469
20130430_20130530,2.39475198672853
20130531_20130629,2.453315348546722
20130630_20130730,2.39174997225836
20130930_20131030,2.3931331614767504
20131031_20131129,2.2401376800441932
20131130_20131230,2.199039171613618
20131231_20140116,2.5749355144277457
20140228_20140330,1.9516358594799852
20140331_20140429,2.0257015232510844
20140430_20140530,2.052727886077429
20140531_20140623,2.214212062361645
20140731_20140830,2.100791106038893
20140831_20140929,2.0571455085499024
20140930_20141030,1.971779370569551
20141031_20141201,1.9264154775202835
20150112_20150130,2.19755150185684
20150131_20150227,3.9606854243185716
20150228_20150330,1.8030541179694348
20150331_20150429,1.9835527799943502
20150411_20150510,2.1600951371196966
20150628_20150730,2.373560988758954
20150731_20150830,2.2831643224832776
20150831_20150926,2.4936061998728407
20151211_20160102,2.462444032979152
20160103_20160127,2.352235527198265
20160128_20160228,2.226933545949434
20160229_20160330,2.263307408794369
20160507_20160530,2.3930388233440234
20160531_20160629,2.247978838825885
20160630_20160728,2.2483162199539724
20160807_20160902,2.424003247607106
20161113_20161209,2.693511614653488
20161210_20170105,2.658347628984126
20170106_20170202,2.582465127540314
20170316_20170413,2.596669455548231
20170409_20170507,2.5078518808768857
20170501_20170521,2.366629620865491
20170522_20170628,2.2926569067227986
20180531_20180629,3.7098511721061955
20180630_20180717,2.938854794280337
20181021_20181108,2.6384199090075153
20181031_20181129,2.19108247892858
20181130_20181230,1.9778921106212624
20181231_20190130,1.861561208870567
20190125_20190303,1.8129943482820265
20190228_20190330,1.7655806383180754
20190331_20190429,1.7451746115938707
20190430_20190530,1.7322826573582502
20190531_20190629,1.7298962903107804
20190630_20190730,1.7251586389825346
20190731_20190830,1.7293146392470693
20190831_20190929,1.722323844322246
20190930_20191030,1.7218866165211564
20191031_20191129,1.7193885276104421
20191130_20191230,1.7197275922302468
20191231_20200130,1.7314927467268972
20200131_20200228,1.733300299698256
20200229_20200330,1.7220856759216416
