system:index,total_evaporation_sum
20200702,-0.0014169592816249616
20200703,-0.0014699652807497305
20200704,-0.0011317299899550766
20200705,-9.38114836170917E-4
20200706,-0.0010505740221015206
20200707,-9.442362674538291E-4
20200708,-7.407964478745861E-4
20200709,-0.001000389290391871
20200710,-0.001164096077957376
20200711,-0.0010430776401873876
20200712,-0.0014586559204136187
20200713,-0.0016067743603236189
20200714,-0.0016440037736254406
20200715,-0.001094050413826848
20200716,-0.0011791044499837185
20200717,-5.601254333941343E-4
20200718,-0.0010076969151675652
20200719,-0.0015555441098641504
20200720,-0.0015525385783762002
20200721,-0.0011035367510618523
20200722,-8.944178970521695E-4
20200723,-0.0012562915929980355
20200724,-0.0010289644975209648
20200725,-0.0012408861405297602
20200726,-0.0018999475118491515
20200727,-0.001626636197931841
20200728,-0.001138762373998847
20200729,-0.0016398377417698978
20200730,-0.0012662092418988626
20200731,-0.001096278420640385
20200801,-0.0016621840782254157
20200802,-0.0017780242627124763
20200803,-0.0018350088400441386
20200804,-0.0019583669605814707
20200805,-0.00200287580829139
20200806,-0.0017777242829644718
20200807,-7.897472071571768E-4
20200808,-0.001885064869332651
20200809,-0.0018741055593805393
20200810,-0.001964190131152481
20200811,-0.001446558998974344
20200812,-0.0015847008257481076
20200813,-0.0018182082408782015
20200814,-0.0019665572856648193
20200815,-0.0020421943737381457
20200816,-0.0019028758661180061
20200817,-0.0016358186235870922
20200818,-0.0019359703308208765
20200819,-0.002554463332937406
20200820,-0.0019126470521114573
20200821,-0.0020205139085973144
20200822,-0.002085290926344327
20200823,-0.0017694945021516
20200824,-0.0017780773272372344
20200825,-0.001745611462470498
20200826,-0.0017093295195434166
20200827,-0.0023284343169510334
20200828,-0.0020542938707485375
20200829,-0.002176601978200248
20200830,-0.0023664148871744236
20200831,-0.0025213628053230358
20200901,-0.0017666759233164876
20200902,-0.0024691407910858686
20200903,-0.0026403199153069937
20200904,-0.0025924480134357363
20200905,-0.0022710366412451587
20200906,-0.0015061889918436978
20200907,-0.002017438030192173
20200908,-0.0022798699371000606
20200909,-0.0018206766635951788
20200910,-0.0028003534775705805
20200911,-0.0020351907538823134
20200912,-0.0024689304228064667
20200913,-0.0026501405941515505
20200914,-0.002515920229252457
20200915,-0.0020132547456590683
20200916,-0.002681084825404962
20200917,-0.0027678964108691804
20200918,-0.0024183967685307535
20200919,-0.0024728402751732705
20200920,-0.0024492420174691367
20200921,-0.003374756077758056
20200922,-0.0030694274795450274
20200923,-0.002969042283063607
20200924,-0.002667652112146222
20200925,-0.0031171548256878714
20200926,-0.0022721424115155664
20200927,-0.0021154395245575426
20200928,-0.0018220943492922074
20200929,-0.0021983105308228594
20200930,-0.0019193887784858463
20201001,-0.0024175366031809354
20201002,-0.0027747676056694395
20201003,-0.0028487160382492127
20201004,-0.002880984752619561
20201005,-0.002633483381172098
20201006,-0.002181753319855806
20201007,-0.0022150923988424206
20201008,-0.0027320460237163576
20201009,-0.002457640840411605
20201010,-0.0024302350782112927
20201011,-0.002330732486118539
