Date,P,Ep,Qobs,Qsim
2020-04-14,0.0,0.0027022554030745,22.286,4.2911217806599815
2020-04-15,0.0,0.0030210183548858,19.978,4.127574606553642
2020-04-16,0.0,0.003128550831591,17.996,3.948143412896914
2020-04-17,0.1396563119435088,0.0029032232454348,16.59,3.776247258706734
2020-04-18,0.058737028619288,0.0024513900557732,15.432,3.6120228299094475
2020-04-19,0.8969792030191555,0.0021816834722155,14.428,3.475145720888587
2020-04-20,0.0,0.0024427462430557,13.521,3.3842330335650486
2020-04-21,0.0,0.0022993069720052,12.828,3.3395008968425843
2020-04-22,0.0,0.0024094330817592,12.292,3.2978484827868675
2020-04-23,0.0,0.0024130853116399,11.754,3.2567155845660802
2020-04-24,0.0,0.0022848045904454,11.107,3.2160957224428794
2020-04-25,0.0,0.0024186811217631,10.489,3.1759824974993967
2020-04-26,7.1531899336027625,0.0023781938489591,9.962,3.1628792822739653
2020-04-27,0.7622531974798237,0.0015566165122721,9.47,3.1696529151664365
2020-04-28,0.0,0.0019224195285174,9.17,3.169545787632583
2020-04-29,7.923580066696739,0.002298694144703,9.47,3.148172373240664
2020-04-30,2.3028489031682584,0.0029047788834344,9.569,3.1661347072388217
2020-05-01,0.0,0.001806783429512,10.768,3.1775978578805257
2020-05-02,0.0,0.001517515125768,10.143,3.125414512161907
2020-05-03,0.0,0.0015248803912221,8.984,3.0864323218952725
2020-05-04,0.0,0.0017631106561029,9.136,3.0479363427062642
2020-05-05,0.0,0.0009448480611324666,8.66,3.0099205102560016
2020-05-06,0.0,0.0015904044233654,9.266,2.972378835843963
2020-05-07,0.0,0.0016392599291085,9.001,2.935305405464568
2020-05-08,0.2079534620323881,0.0020145181435337,8.685,2.8992123549549724
2020-05-09,0.0,0.0020708694285953,8.201,2.8640874563836585
2020-05-10,0.0,0.0017316526663788,7.71,2.8294006582543414
2020-05-11,0.0,0.001466039306563,7.255,2.7941105441362253
2020-05-12,0.0,0.0012136326426008,6.966,2.7592605911352117
2020-05-13,0.0,0.0015484707250625,6.698,2.7248453092773004
2020-05-14,0.0,0.0011906183545114,6.471,2.690859277062995
2020-05-15,0.0,0.0012629259385211,6.869,2.6572971406132444
2020-05-16,0.0,0.0011640524268262,6.667,2.6241536128260408
2020-05-17,0.0,0.001199523733518,6.405,2.591423472543528
2020-05-18,0.0,0.0010886948240037,6.288,2.5591015637295076
2020-05-19,0.0048001235413257,0.0013786238430619,6.747,2.5271947438610933
2020-05-20,18.6848679682823,0.0013971889088516,6.852,2.6004025437266094
2020-05-21,3.386823968507251,0.0015107949983505,6.781,2.776397069400768
2020-05-22,0.2224628404986925,0.0008824113910038444,7.575,2.9269892514389793
